instance family sequential-induced-nofilter-except-0 sequential-induced-nofilter-except-1 sequential-induced-nofilter-except-2 sequential-induced-nofilter-except-3
si4_r01_m600.06 7 1000001 1000000 1000001 1000000
si4_r01_m600.01 7 1000000 1000000 1000000 1000001
si4_r01_m600.04 7 1000000 1000000 1000001 1000000
si4_r01_m600.00 7 1000000 1000000 1000000 1000000
si4_r01_m600.09 7 1000000 803048 1000001 1000000
si2_b09_m400.04 3 3 4 4 6
si2_b09_m400.08 3 3 4 5 4
si2_b09_m400.05 3 5 4 5 5
si2_b09_m400.01 3 3 6 4 4
si2_b09_m400.03 3 3 5 5 8
si2_b09_m400.02 3 3 4 5 4
si2_b09_m400.07 3 3 5 7 4
