instance family
si2_b03_m800.03 3 90
si2_b03_m800.01 3 90
si2_b03_m800.06 3 126
si4_b03m_m200.05 4 5
si4_b03m_m200.02 4 7
si4_b03m_m200.04 4 5
si4_b03m_m200.07 4 5
si4_b03m_m200.00 4 5
si4_b03m_m200.06 4 5
si4_b03m_m200.03 4 5
si4_b03m_m200.09 4 5
si4_b03m_m200.08 4 5
si4_b03m_m200.01 4 5
si2_b06m_m200.04 4 4
si2_b06m_m200.03 4 4
si2_b06m_m200.08 4 4
si2_b06m_m200.06 4 4
si2_b06m_m200.05 4 4
si2_b06m_m200.02 4 4
si2_b06m_m200.00 4 6
si2_b06m_m200.01 4 4
si2_b06m_m200.09 4 4
si2_b06m_m200.07 4 4
si6_m4Dr4_m625.05 6 131
si6_m4Dr4_m625.09 6 129
si6_m4Dr4_m625.04 6 148
si6_m4Dr4_m625.00 6 136
si6_m4Dr4_m625.08 6 129
si6_m4Dr4_m625.06 6 124
si6_m4Dr4_m625.01 6 134
si6_m4Dr4_m625.03 6 134
si6_m4Dr4_m625.07 6 165
si6_m4Dr4_m625.02 6 127
si4_b03_m200.06 3 6
si4_b03_m200.02 3 8
si4_b03_m200.07 3 6
si4_b03_m200.04 3 8
si4_b03_m200.03 3 6
si4_b03_m200.05 3 6
si4_b03_m200.09 3 6
si4_b03_m200.01 3 6
si4_b03_m200.00 3 6
si4_b03_m200.08 3 8
si2_b03_m400.03 3 24
si2_b03_m400.06 3 17
si2_b03_m400.07 3 17
si2_b03_m400.01 3 17
si2_b03_m400.05 3 23
si2_b03_m400.09 3 18
si2_b03_m400.02 3 17
si2_b03_m400.00 3 17
si2_b03_m400.08 3 17
si2_b03_m400.04 3 17
si4_b09_m200.02 3 12
si4_b09_m200.01 3 9
si4_b09_m200.00 3 12
si4_b09_m200.09 3 9
si4_b09_m200.08 3 9
si4_b09_m200.04 3 12
si4_b09_m200.06 3 12
si4_b09_m200.05 3 9
si4_b09_m200.07 3 9
si4_b09_m200.03 3 12
si4_m4Dr4_m256.05 6 9
