instance family sequential-except-0-pf sequential-except-0-pd sequential-d2-except-0-pf sequential-d2-except-0-pd sequential-except-1-pf sequential-except-1-pd sequential-d2-except-1-pf sequential-d2-except-1-pd sequential-except-2-pf sequential-except-2-pd sequential-d2-except-2-pf sequential-d2-except-2-pd sequential-except-3-pf sequential-except-3-pd sequential-d2-except-3-pf sequential-d2-except-3-pd sequential-except-4-pf sequential-except-4-pd sequential-d2-except-4-pf sequential-d2-except-4-pd sequential-except-5-pf sequential-except-5-pd sequential-d2-except-5-pf sequential-d2-except-5-pd sequential-except-10-pf sequential-except-10-pd sequential-d2-except-10-pf sequential-d2-except-10-pd sequential-except-20-pf sequential-except-20-pd sequential-d2-except-20-pf sequential-d2-except-20-pd
E.15 1 990028 44647 990028 45007 990306 45333 990306 45835 990908 46895 990908 47525 991013 47828 991013 48339 991252 48375 991252 48718 991363 48943 991363 49168 991920 53821 991920 53824 992365 62948 992365 62948
E.07 1 989758 47492 989758 48648 990511 48894 990511 50952 990993 50064 990993 52353 991188 50991 991188 52759 991247 51795 991247 52935 991645 52912 991645 53580 991993 57931 991993 57942 992538 67851 992538 67851
E.11 1 990653 52352 990653 55125 991020 53057 991020 56168 991182 53873 991182 56083 991149 55013 991149 56319 991558 56282 991558 56902 991637 57436 991637 57735 992146 63254 992146 63260 992684 73981 992684 73981
B.03 1 995604 9200 995287 44528 996206 9382 996206 9934 996445 9807 996445 9815 996464 9860 996464 9860 996483 9942 996483 9942 996403 9768 996403 9768 996403 9768 996403 9768 996403 9768 996403 9768
B.18 1 995515 9201 994893 42619 996240 9240 996240 9755 996467 9666 996467 9666 996579 9734 996579 9734 996400 9831 996400 9831 996428 9992 996428 9992 996403 9949 996403 9949 996403 9949 996403 9949
C.03 1 997338 5733 996991 27136 997783 5594 997783 5846 997877 5837 997877 5842 997846 5964 997846 5964 997844 5842 997844 5842 997961 5935 997961 5935 997833 6038 997833 6038 997833 6038 997833 6038
A.18 1 987136 27449 984812 118323 989319 27257 989319 32794 989451 28525 989451 28587 989493 29307 989493 29307 989459 29359 989459 29359 989598 29515 989598 29515 989598 29515 989598 29515 989598 29515 989598 29515
F.15 1 988251 36337 988251 36645 989955 38603 989955 39632 990864 40279 990864 42099 990920 41028 990920 42604 991260 41721 991260 42753 991470 42762 991470 43325 992106 47528 992106 47551 992290 56596 992290 56596
A.19 1 987212 27015 985550 112809 989011 26219 989011 30234 989434 27260 989434 27271 989366 27869 989366 27869 989465 28254 989465 28254 989598 28002 989598 28002 989598 28002 989598 28002 989598 28002 989598 28002
C.12 1 997332 5416 997030 26345 997625 5579 997625 5862 997887 5846 997887 5846 997913 5877 997913 5877 997824 5897 997824 5897 997813 5962 997813 5962 997833 5969 997833 5969 997833 5969 997833 5969
B.05 1 995385 9353 995071 44182 996128 9476 996128 10131 996418 9601 996418 9610 996429 9996 996429 9996 996435 10103 996435 10103 996533 10080 996533 10080 996403 10186 996403 10186 996403 10186 996403 10186
A.13 1 986617 26851 984556 113547 988817 26742 988771 30372 989215 27806 989215 27923 989329 28654 989329 28654 989543 28799 989543 28799 989547 28717 989547 28717 989598 28935 989598 28935 989598 28935 989598 28935
A.05 1 986551 25939 983833 105467 988676 26347 988676 30314 989274 28042 989274 28099 989478 29154 989478 29154 989512 29497 989512 29497 989598 29159 989598 29159 989598 29159 989598 29159 989598 29159 989598 29159
F.01 1 987811 37364 987811 37594 989852 39458 989852 40215 990645 40982 990645 42185 991372 41732 991372 42932 991393 42694 991393 43553 991681 43701 991681 44209 991863 47772 991863 47786 992478 55937 992478 55937
E.20 1 989771 43317 989771 43787 990054 44757 990054 45643 990619 46027 990619 47076 991031 46737 991031 47672 991141 47975 991141 48646 991640 49059 991640 49474 991997 53762 991997 53768 992361 62784 992361 62784
B.13 1 995463 9368 994915 43582 996164 9228 996164 9863 996440 9534 996440 9534 996377 9778 996377 9778 996548 9819 996548 9819 996395 9909 996395 9909 996403 9943 996403 9943 996403 9943 996403 9943
A.14 1 987521 26542 985657 118697 988946 27789 988946 32190 989296 28997 989296 29130 989457 29680 989457 29680 989387 29597 989387 29597 989598 29827 989598 29827 989598 29827 989598 29827 989598 29827 989598 29827
B.04 1 995711 9248 995046 43504 996247 9382 996247 9925 996395 9802 996395 9803 996526 9861 996526 9861 996464 9797 996464 9797 996515 9836 996515 9836 996403 9943 996403 9943 996403 9943 996403 9943
C.13 1 997320 5665 997099 27182 997764 5599 997764 5856 997807 5882 997807 5887 997855 6103 997855 6103 997877 5998 997877 5998 997868 5968 997868 5968 997833 5939 997833 5939 997833 5939 997833 5939
F.07 1 988862 37582 988862 37661 990383 39271 990383 39471 990983 40640 990983 41026 991284 41871 991284 42330 991397 42640 991397 43068 991703 43767 991703 44090 991987 48758 991987 48772 992511 59198 992511 59198
E.13 1 990121 39141 990121 39340 990704 40459 990704 40913 990876 41041 990876 41572 991133 41649 991133 42147 991296 42859 991296 43208 991485 43741 991485 43919 991963 47977 991963 47983 992351 55564 992351 55564
E.14 1 990745 45841 990745 47918 991045 47011 991045 49849 991415 47507 991415 49927 991510 48344 991510 49904 991810 49362 991810 50294 991829 50112 991829 50613 992254 54819 992254 54831 992557 64038 992557 64038
A.11 1 986658 26814 984481 115661 988592 27035 988610 31350 989253 27940 989253 28126 989322 29180 989322 29180 989349 28919 989349 28919 989390 28896 989390 28896 989598 29089 989598 29089 989598 29089 989598 29089
si6_r005_m400.07 7 993261 86517 993261 208625 993380 86821 993380 156393 993291 87036 993291 120020 993358 87072 993358 100026 993271 87511 993271 91936 993483 87730 993483 89135 993341 87118 993341 87120 993159 87559 993159 87559
si6_r005_m400.00 7 993350 86015 993350 208319 993341 86117 993341 154846 993361 85769 993361 118230 993374 85963 993374 98751 993316 86939 993316 91353 993372 87033 993372 88371 993370 86521 993370 86521 993159 87297 993159 87297
si6_r005_m400.01 7 993323 87506 993323 209397 993294 87054 993294 157014 993334 87761 993334 120812 993424 87526 993424 100946 993294 88119 993294 92778 993369 88331 993369 89888 993394 88072 993394 88074 993159 87139 993159 87139
si6_r005_m400.02 7 993368 87524 993368 215558 993275 88303 993275 162458 993341 88853 993341 124992 993472 89179 993472 104230 993153 88631 993153 93927 993356 88931 993356 90596 993385 88846 993385 88855 993159 89672 993159 89672
si6_r005_m400.04 7 993461 86077 993461 203788 993398 86041 993398 151344 993221 86597 993221 115878 993289 86351 993289 97458 993437 86667 993437 90372 993378 87086 993378 88278 993404 86983 993404 86983 993159 86841 993159 86841
si6_r005_m400.05 7 993312 84684 993312 201304 993457 85059 993457 148552 993378 85304 993378 113726 993350 85427 993350 96152 993365 85577 993365 89162 993261 85668 993261 86703 993359 85344 993359 85344 993159 85597 993159 85597
si6_r005_m400.09 7 993502 87190 993502 210805 993507 87704 993507 159403 993228 87981 993228 122703 993269 87554 993269 102039 993352 87982 993352 93317 993408 88585 993408 90253 993319 88523 993319 88523 993159 88539 993159 88539
si6_r005_m400.03 7 993267 86768 993267 208413 993257 86381 993257 154051 993285 86876 993285 118999 993282 87142 993282 99808 993248 87131 993248 91480 993238 87209 993238 88437 993454 87665 993454 87665 993159 87013 993159 87013
si6_r005_m400.06 7 993358 88739 993358 214002 993331 88594 993331 162194 993366 88678 993366 125194 993350 89410 993350 104925 993442 89104 993442 94885 993344 88917 993344 90828 993519 89255 993519 89255 993159 89060 993159 89060
si6_r005_m400.08 7 993186 87205 993186 209927 993346 87960 993346 159287 993266 87661 993266 122592 993448 88244 993448 103188 993260 88222 993260 93494 993291 88489 993291 90177 993306 88346 993306 88346 993159 88475 993159 88475
si6_m4Dr6_m625.04 6 994366 10929 993566 46092 995381 11440 995381 21196 995544 11881 995544 12000 995695 12679 995695 12679 995830 13051 995830 13051 995647 13612 995647 13612 995737 13645 995737 13645 995713 13604 995713 13604
si6_m4Dr6_m625.01 6 993941 11585 992057 46685 995021 12256 995021 23407 995400 12845 995400 12986 995439 13299 995439 13311 995719 14101 995719 14101 995755 14216 995755 14216 995726 14765 995726 14765 995713 14746 995713 14746
si6_m4Dr6_m625.09 6 994411 11206 993728 44935 995273 11625 995273 21154 995525 12103 995525 12233 995464 12531 995464 12532 995690 13222 995690 13222 995657 13250 995657 13250 995746 13886 995746 13886 995713 13624 995713 13624
si6_m4Dr6_m625.07 6 994093 10779 993216 46911 995185 11140 995185 20288 995368 12001 995368 12231 995541 12712 995541 12712 995641 13442 995641 13442 995640 13676 995640 13676 995713 13998 995713 13998 995713 13998 995713 13998
si6_m4Dr6_m625.00 6 994275 11527 993126 51926 995266 11460 995266 20876 995398 11949 995398 12009 995609 12851 995609 12851 995756 13093 995756 13093 995746 13307 995746 13307 995791 13618 995791 13618 995713 13772 995713 13772
si6_m4Dr6_m625.08 6 994626 10041 994217 42965 995394 10562 995394 18424 995553 11201 995553 11301 995667 11655 995667 11666 995787 12079 995787 12079 995706 12225 995706 12225 995713 12530 995713 12530 995713 12530 995713 12530
si6_m4Dr6_m625.05 6 993979 10959 993235 44433 995065 11326 995065 20549 995538 12150 995538 12245 995630 12694 995630 12694 995701 13196 995701 13196 995645 14111 995645 14111 995789 13938 995789 13938 995713 14109 995713 14109
