instance family sequential-d2-except-0 sequential-d2-except-1 sequential-d2-except-2 sequential-d2-except-3 sequential-d2-except-4 sequential-d2-except-5 sequential-d2-except-10 sequential-d2-except-20
si2_b09_m200.00 3 5 8 9 6 8 11 10 6
si2_b09_m200.02 3 6 7 6 8 7 7 7 8
si2_b09_m200.03 3 6 8 10 7 8 30 8 6
si2_b09_m200.04 3 6 8 7 6 8 45 7 6
si2_b09_m200.09 3 6 8 7 9 19 6 7 6
si2_b09_m200.07 3 6 7 7 8 7 6 7 7
si6_r01_m600.02 7 1000001 1000001 1000001 1000001 1000001 1000002 1000002 1000001
si6_r01_m600.06 7 1000001 1000002 1000001 1000001 1000002 1000001 1000002 1000001
si6_r01_m600.09 7 1000002 1000001 1000001 1000001 1000002 1000002 1000002 1000002
si6_r01_m600.08 7 1000002 1000001 841449 1000002 1000002 358603 1000002 1000001
si6_r01_m600.05 7 1000001 1000001 1000001 1000002 1000001 1000001 1000003 1000003
si6_r01_m600.07 7 1000002 1000002 1000003 1000003 1000001 1000003 1000002 1000001
si6_r01_m600.03 7 1000001 1000001 1000002 1000001 1000002 1000002 1000001 1000001
si6_r01_m600.00 7 620987 1000001 1000001 1000002 1000002 1000001 1000002 1000001
si6_r01_m600.01 7 1000001 1000001 1000001 1000001 1000002 1000002 1000001 1000001
si6_r01_m600.04 7 1000000 1000001 1000001 1000001 1000001 1000002 1000001 1000001
si2_b06_m200.02 3 4 5 6 5 6 5 5 7
si2_b06_m200.00 3 6 6 6 5 5 5 5 7
si2_b06_m200.01 3 5 5 5 6 5 5 6 5
si2_b06_m200.06 3 6 6 6 5 7 5 5 5
si2_b06_m200.09 3 5 6 6 6 5 5 5 5
si2_b06_m200.07 3 4 5 6 7 6 5 7 6
si2_b06_m200.04 3 6 5 6 7 7 5 5 5
si2_b06_m200.08 3 4 6 5 5 5 5 5 5
si2_b06_m200.03 3 4 5 7 5 6 5 7 5
si2_b06_m200.05 3 4 5 7 6 6 5 5 5
si6_m4Dr2_m1296.05 6 1142 1206 13626 46135 7728 10241 125272 185419
si6_m4Dr2_m1296.09 6 1019 4233 3493 30072 1000003 76121 35931 1000008
si6_m4Dr2_m1296.01 6 933 7548 3710 7745 9587 11103 15333 422390
si6_m4Dr2_m1296.06 6 1161 6872 54483 1000007 37573 320867 441487 1000003
si6_m4Dr2_m1296.07 6 1076 5210 19250 137228 47133 30142 1000005 371280
si6_m4Dr2_m1296.03 6 986 1805 2527 4708 13893 9437 418136 1000007
si6_m4Dr2_m1296.04 6 932 2499 4936 67738 15697 10245 153504 146025
si6_m4Dr2_m1296.00 6 1029 11349 1000003 1000007 1000004 172234 227002 21983
si6_m4Dr2_m1296.08 6 960 1559 42608 7773 338569 78642 21117 752780
si6_m4Dr2_m1296.02 6 1268 1719 3599 6997 6317 83132 130739 104543
si2_b09m_m800.09 4 130 420 1000001 1000001 1000001 1000001 1000001 1000001
si2_b09m_m800.07 4 113 216 1000001 1000001 1000001 1000001 1000001 1000002
si2_b09m_m800.00 4 112 122 263 1000001 40985 953 1000001 1000001
si2_b09m_m800.04 4 112 703 361 1694 4121 1000001 1000001 1000001
si2_b09m_m800.02 4 121 2910 581 1000000 19268 51544 1000001 1000001
si2_b09m_m800.05 4 112 769 2374 1577 1000000 1000000 1000001 1000001
si2_b09m_m800.03 4 169 146 2465 2177 5072 1000001 1000001 1000001
si2_b09m_m800.08 4 111 1000001 1000001 1000001 1000001 1000001 1000001 1000002
si2_b09m_m800.06 4 111 146 40002 1000000 64878 1000000 1000001 1000001
si2_b09m_m800.01 4 162 150 1000001 71808 9907 23573 1000001 1000001
si4_b03_m400.01 3 36 38 38 48 39 40 41 45
si4_b03_m400.02 3 36 38 38 39 39 56 46 45
si4_b03_m400.05 3 36 38 38 56 39 51 41 63
si4_b03_m400.07 3 36 51 55 39 38 39 44 55
si4_b03_m400.06 3 36 38 38 39 40 40 42 45
si4_b03_m400.00 3 36 37 39 39 39 40 41 45
si4_b03_m400.03 3 36 37 38 50 51 40 48 50
si4_b03_m400.04 3 51 38 39 39 39 51 41 44
si4_b03_m400.09 3 36 42 38 49 50 40 41 44
si4_b03_m400.08 3 36 38 50 39 39 40 41 45
si2_b03_m200.05 3 5 5 5 4 4 4 4 4
si2_b03_m200.09 3 5 4 5 4 4 5 4 5
si2_b03_m200.07 3 4 4 4 4 4 4 4 4
si2_b03_m200.01 3 3 4 4 4 5 4 4 4
si2_b03_m200.08 3 4 4 4 4 5 4 4 4
si2_b03_m200.02 3 4 4 4 4 4 4 4 4
si2_b03_m200.04 3 4 4 4 5 5 4 4 5
si2_b03_m200.03 3 4 5 4 4 4 4 4 4
si2_b03_m200.06 3 4 4 4 4 5 5 6 4
si2_b03_m200.00 3 3 4 4 5 5 5 4 4
si4_r005_m600.00 7 290037 1000001 41958 182354 51336 93012 169236 1000001
si4_r005_m600.02 7 51555 237312 390065 407397 116947 1000000 64312 1000001
si4_r005_m600.08 7 331415 374574 148958 576768 224467 235657 604133 1000001
si4_r005_m600.05 7 161262 62321 419551 375204 387591 962605 30528 1000001
si4_r005_m600.07 7 118858 1000000 437381 390749 380704 214256 308772 177844
si4_r005_m600.06 7 698037 583156 588608 72652 532353 298567 899593 1000001
si4_r005_m600.01 7 275901 595086 1000000 164348 142190 261528 886614 1000000
si4_r005_m600.04 7 211786 148471 1000000 470998 61128 331922 1000000 352633
si4_r005_m600.03 7 104038 99942 689902 104221 185015 847320 489104 994329
si4_r005_m600.09 7 58546 149267 188567 399120 1000000 140356 1000001 326502
si4_b09_m400.05 3 44 45 53 70 56 50 59 62
si4_b09_m400.03 3 45 45 45 151 149 332 58 52
