instance family
si4_b09m_m200.09 4 20
si4_m4Dr4_m625.07 6 176
si4_m4Dr4_m625.05 6 167
si4_m4Dr4_m625.01 6 168
si4_m4Dr4_m625.08 6 178
si4_m4Dr4_m625.09 6 257
si4_m4Dr4_m625.00 6 194
si4_m4Dr4_m625.04 6 171
si4_m4Dr4_m625.06 6 174
si4_m4Dr4_m625.03 6 175
si4_m4Dr4_m625.02 6 171
si4_m4Dr4_m1296.03 6 1200
si4_m4Dr4_m1296.01 6 1251
si4_m4Dr4_m1296.00 6 1226
si4_m4Dr4_m1296.07 6 1157
si4_m4Dr4_m1296.02 6 1188
si4_m4Dr4_m1296.04 6 1204
si4_m4Dr4_m1296.09 6 1192
si4_m4Dr4_m1296.06 6 1234
si4_m4Dr4_m1296.08 6 1213
si4_m4Dr4_m1296.05 6 1228
si2_r005_m400.05 7 8160
si2_r005_m400.06 7 2474
si2_r005_m400.08 7 8445
si2_r005_m400.02 7 644633
si2_r005_m400.03 7 15612
si2_r005_m400.00 7 7434
si2_r005_m400.07 7 50616
si2_r005_m400.09 7 10181
si2_r005_m400.04 7 22027
si2_r005_m400.01 7 6995
si2_b06m_m400.03 4 40
si2_b06m_m400.06 4 40
si2_b06m_m400.05 4 53
si2_b06m_m400.01 4 41
si2_b06m_m400.00 4 39
si2_b06m_m400.08 4 39
si2_b06m_m400.07 4 39
si2_b06m_m400.09 4 40
si2_b06m_m400.04 4 41
si2_b06m_m400.02 4 59
si6_r005_m600.02 7 139106
si6_r005_m600.08 7 73036
si6_r005_m600.03 7 168031
si6_r005_m600.05 7 243200
si6_r005_m600.07 7 98117
si6_r005_m600.04 7 169147
si6_r005_m600.06 7 242242
si6_r005_m600.01 7 46846
si6_r005_m600.09 7 361557
si6_r005_m600.00 7 65507
si6_r005_m200.02 7 84
si6_r005_m200.08 7 147
si6_r005_m200.09 7 147
si6_r005_m200.05 7 117
si6_r005_m200.03 7 104
si6_r005_m200.00 7 177
si6_r005_m200.04 7 115
si6_r005_m200.07 7 96
si6_r005_m200.01 7 158
si6_r005_m200.06 7 71
si2_m4Dr6_m625.06 6 119
si2_m4Dr6_m625.08 6 130
si2_m4Dr6_m625.07 6 116
si2_m4Dr6_m625.03 6 182
si2_m4Dr6_m625.04 6 127
si2_m4Dr6_m625.05 6 117
si2_m4Dr6_m625.09 6 123
si2_m4Dr6_m625.01 6 133
si2_m4Dr6_m625.02 6 207
si2_m4Dr6_m625.00 6 115
si6_b03_m800.02 3 541
si6_b03_m800.04 3 541
si6_b03_m800.03 3 604
si6_b03_m800.05 3 654
si6_b03_m800.06 3 541
si6_b03_m800.01 3 712
si6_b03_m800.00 3 542
si6_b03_m800.07 3 541
si6_b03_m800.09 3 562
si6_b03_m800.08 3 564
si4_m4D_m1296.09 5 945
si4_m4D_m1296.06 5 994
si4_m4D_m1296.05 5 1045
si4_m4D_m1296.00 5 4105
si4_m4D_m1296.03 5 33568
si4_m4D_m1296.04 5 1039
si4_m4D_m1296.08 5 1000003
si4_m4D_m1296.02 5 5002
si4_m4D_m1296.01 5 950
si4_m4D_m1296.07 5 972
si6_b03m_m400.03 4 106
si6_b03m_m400.01 4 72
si6_b03m_m400.09 4 109
si6_b03m_m400.08 4 71
si6_b03m_m400.07 4 70
si6_b03m_m400.02 4 71
si6_b03m_m400.05 4 72
si6_b03m_m400.00 4 85
si6_b03m_m400.06 4 86
si6_b03m_m400.04 4 104
si4_m4D_m256.07 5 18
si4_m4D_m256.06 5 18
si4_m4D_m256.05 5 25
si4_m4D_m256.08 5 19
si4_m4D_m256.04 5 24
si4_m4D_m256.09 5 19
si4_m4D_m256.02 5 26
si4_m4D_m256.00 5 28
si4_m4D_m256.03 5 18
si4_m4D_m256.01 5 18
si6_b06m_m800.07 4 458
si6_b06m_m800.04 4 437
si6_b06m_m800.01 4 417
si6_b06m_m800.00 4 428
si6_b06m_m800.05 4 451
si6_b06m_m800.08 4 443
si6_b06m_m800.09 4 452
si6_b06m_m800.02 4 431
si6_b06m_m800.03 4 430
si6_b06m_m800.06 4 428
si4_r001_m400.08 7 917
si4_r001_m400.06 7 93
si4_r001_m400.02 7 93
si4_r001_m400.00 7 111
si4_r001_m400.04 7 107
si4_r001_m400.03 7 85
si4_r001_m400.09 7 112
si4_r001_m400.05 7 981
si4_r001_m400.01 7 95
si4_r001_m400.07 7 182
si2_m4Dr6_m1296.00 6 789
si2_m4Dr6_m1296.01 6 789
si2_m4Dr6_m1296.09 6 808
si2_m4Dr6_m1296.06 6 780
si2_m4Dr6_m1296.03 6 806
si2_m4Dr6_m1296.02 6 790
si2_m4Dr6_m1296.05 6 870
si2_m4Dr6_m1296.08 6 775
si2_m4Dr6_m1296.04 6 850
si2_m4Dr6_m1296.07 6 789
si2_b03_m800.07 3 291
si2_b03_m800.08 3 337
si2_b03_m800.04 3 211
si2_b03_m800.05 3 211
si2_b03_m800.09 3 212
si2_b03_m800.00 3 212
si2_b03_m800.02 3 211
si2_b03_m800.03 3 233
si2_b03_m800.01 3 211
si2_b03_m800.06 3 233
si4_b03m_m200.05 4 10
si4_b03m_m200.02 4 15
si4_b03m_m200.04 4 10
si4_b03m_m200.07 4 14
si4_b03m_m200.00 4 15
si4_b03m_m200.06 4 10
