instance family sequential-d2-induced-except-5
si2_b03_m800.09 3 219
si2_b03_m800.00 3 218
si2_b03_m800.02 3 225
si2_b03_m800.03 3 217
si2_b03_m800.01 3 218
si2_b03_m800.06 3 217
si4_b03m_m200.05 4 234
si4_b03m_m200.02 4 54
si4_b03m_m200.04 4 39
si4_b03m_m200.07 4 187
si4_b03m_m200.00 4 53
si4_b03m_m200.06 4 51
si4_b03m_m200.03 4 367
si4_b03m_m200.09 4 503
si4_b03m_m200.08 4 53
si4_b03m_m200.01 4 73
si2_b06m_m200.04 4 13
si2_b06m_m200.03 4 37
si2_b06m_m200.08 4 92
si2_b06m_m200.06 4 15
si2_b06m_m200.05 4 74
si2_b06m_m200.02 4 14
si2_b06m_m200.00 4 10
si2_b06m_m200.01 4 12
si2_b06m_m200.09 4 13
si2_b06m_m200.07 4 11
si6_m4Dr4_m625.05 6 1769
si6_m4Dr4_m625.09 6 3263
si6_m4Dr4_m625.04 6 1213
si6_m4Dr4_m625.00 6 8521
si6_m4Dr4_m625.08 6 1196
si6_m4Dr4_m625.06 6 1177
si6_m4Dr4_m625.01 6 17281
si6_m4Dr4_m625.03 6 3570
si6_m4Dr4_m625.07 6 22143
si6_m4Dr4_m625.02 6 23079
si4_b03_m200.06 3 13
si4_b03_m200.02 3 13
